Rt,Et,Ret,Qt
0.011,0.02439,0,0.348
0.07,0.01958,0.05042,0.348
0,0.02524,0,0.3495
0,0.00967,0,0.3495
0,0,0,0.3518
0.09,0.00388,0.08612,0.3525
0.011,0.01353,0,0.3532
18.526,0.00965,18.51635,0.4038
1.137,0.00157,1.13543,0.4416
0.082,0,0.082,0.4433
0.02,0,0.02,0.451
0.03,0,0.03,0.4884
0.013,0,0.013,0.6113
0,0,0,0.7169
0.02,0.00395,0.01605,1.7926
0,0.02531,0,5.78
0.02,0.04108,0,6.7299
0.02,0.03429,0,5.6721
0.01,0.01919,0,4.2426
0.01,0.02321,0,3.0065
0.031,0.03937,0,2.1344
0.03,0.08544,0,1.5755
0.021,0.09068,0,1.2881
0.039,0.08217,0,1.1301
0.002,0.12345,0,1.0115
0,0.07762,0,0.9174
0.329,0.0231,0.3059,0.8161
0.245,0.01037,0.23463,0.7094
0.073,0,0.073,0.6176
0,0,0,0.5598
0,0,0,0.5489
0,0,0,0.5761
0,0,0,0.5964
0,0,0,0.5981
0,0,0,0.5861
0.001,0,0.001,0.5734
0,0,0,0.5568
0.004,0,0.004,0.5454
0.019,0.00887,0.01013,0.5305
0.01,0.03548,0,0.5165
0,0.08044,0,0.4999
0.029,0.12497,0,0.4911
0.039,0.18449,0,0.4806
0.016,0.22683,0,0.4727
0.025,0.18169,0,0.4596
0.02,0.17417,0,0.4491
0,0.17871,0,0.4341
0,0.28912,0,0.4241
0,0.17874,0,0.4136
0,0.12015,0,0.4087
0,0.11269,0,0.4041
0,0.05071,0,0.3972
0,0,0,0.3894
0,0,0,0.3828
0,0,0,0.3768
0,0,0,0.373
0,0,0,0.3692
0,0,0,0.367
0,0,0,0.3644
0,0,0,0.36
0,0,0,0.36
0,0.00026,0,0.3592
0,0.01717,0,0.3555
0,0.05206,0,0.3502
0,0.07919,0,0.3472
0,0.1351,0,0.3435
0,0.19293,0,0.3382
0,0.18849,0,0.3323
0,0.21478,0,0.3278
0,0.19092,0,0.327
0,0.18791,0,0.3248
0,0.21402,0,0.3248
0,0.18331,0,0.324
0,0.13325,0,0.324
0,0.05035,0,0.324
